ticker,MSCI INDEX
field,PX_LAST
date,
2021-01-04,437.64
2021-01-05,431.37
2021-01-06,435.17
2021-01-07,443.64
2021-01-08,452.68
2021-01-11,451.79
2021-01-12,453.19
2021-01-13,438.4
2021-01-14,409.52
2021-01-15,415.3
2021-01-19,411.48
2021-01-20,418.52
2021-01-21,414.35
2021-01-22,411.88
2021-01-25,403.49
2021-01-26,404.61
2021-01-27,393.34
2021-01-28,395.23
2021-01-29,395.3
2021-02-01,416.25
2021-02-02,425.13
2021-02-03,416.87
2021-02-04,430.19
2021-02-05,429.81
2021-02-08,422.73
2021-02-09,417.97
2021-02-10,419.66
2021-02-11,426.86
2021-02-12,434.77
2021-02-16,440.92
2021-02-17,439.32
2021-02-18,437.55
2021-02-19,432.97
2021-02-22,413.6
2021-02-23,415.15
2021-02-24,417.23
2021-02-25,406.3
2021-02-26,414.52
2021-03-01,420.03
2021-03-02,418.81
2021-03-03,409.72
2021-03-04,409.0
2021-03-05,414.72
2021-03-08,402.63
2021-03-09,414.52
2021-03-10,409.82
2021-03-11,410.06
2021-03-12,416.53
2021-03-15,419.55
2021-03-16,416.58
2021-03-17,413.17
2021-03-18,405.62
2021-03-19,410.36
2021-03-22,419.36
2021-03-23,420.76
2021-03-24,424.03
2021-03-25,412.05
2021-03-26,424.87
2021-03-29,426.37
2021-03-30,417.51
2021-03-31,419.28
2021-04-01,428.55
2021-04-05,440.61
2021-04-06,440.1
2021-04-07,437.45
2021-04-08,445.29
2021-04-09,448.5
2021-04-12,453.14
2021-04-13,460.0
2021-04-14,457.41
2021-04-15,469.65
2021-04-16,473.52
2021-04-19,468.27
2021-04-20,468.03
2021-04-21,470.62
2021-04-22,471.75
2021-04-23,486.5
2021-04-26,487.0
2021-04-27,487.61
2021-04-28,484.03
2021-04-29,494.83
2021-04-30,485.77
2021-05-03,486.2
2021-05-04,482.5
2021-05-05,478.18
2021-05-06,475.91
2021-05-07,482.31
2021-05-10,476.89
2021-05-11,472.67
2021-05-12,460.18
2021-05-13,461.09
2021-05-14,463.46
2021-05-17,455.78
2021-05-18,454.09
2021-05-19,447.59
2021-05-20,457.23
2021-05-21,456.88
2021-05-24,462.85
2021-05-25,464.61
2021-05-26,465.1
2021-05-27,464.37
2021-05-28,468.13
2021-06-01,461.97
2021-06-02,468.87
2021-06-03,461.98
2021-06-04,466.36
2021-06-07,464.37
2021-06-08,463.37
2021-06-09,465.83
2021-06-10,476.46
2021-06-11,479.51
2021-06-14,490.76
2021-06-15,495.0
2021-06-16,495.9
2021-06-17,505.54
2021-06-18,502.9
2021-06-21,515.59
2021-06-22,522.19
2021-06-23,523.86
2021-06-24,533.08
2021-06-25,531.75
2021-06-28,534.47
2021-06-29,542.17
2021-06-30,533.08
2021-07-01,534.03
2021-07-02,541.91
2021-07-06,550.02
2021-07-07,555.77
2021-07-08,553.54
2021-07-09,560.23
2021-07-12,559.95
2021-07-13,557.57
2021-07-14,555.19
2021-07-15,559.85
2021-07-16,564.83
2021-07-19,556.84
2021-07-20,563.57
2021-07-21,564.86
2021-07-22,572.15
2021-07-23,578.95
2021-07-26,575.9
2021-07-27,584.21
2021-07-28,591.84
2021-07-29,594.76
2021-07-30,595.96
2021-08-02,610.92
2021-08-03,619.07
2021-08-04,624.22
2021-08-05,627.38
2021-08-06,628.9
2021-08-09,627.68
2021-08-10,625.08
2021-08-11,624.94
2021-08-12,625.16
2021-08-13,630.02
2021-08-16,630.21
2021-08-17,629.48
2021-08-18,610.21
2021-08-19,610.0
2021-08-20,618.86
2021-08-23,621.19
2021-08-24,618.37
2021-08-25,627.91
2021-08-26,623.91
2021-08-27,629.59
2021-08-30,638.43
2021-08-31,634.58
2021-09-01,649.21
2021-09-02,649.42
2021-09-03,650.75
2021-09-07,655.82
2021-09-08,659.18
2021-09-09,652.86
2021-09-10,650.87
2021-09-13,643.25
2021-09-14,653.27
2021-09-15,647.36
2021-09-16,652.15
2021-09-17,641.66
2021-09-20,634.59
2021-09-21,640.7
2021-09-22,645.15
2021-09-23,653.58
2021-09-24,661.37
2021-09-27,638.68
