ticker,RAY INDEX
field,PX_LAST
date,
2021-01-04,2215.423
2021-01-05,2233.697
2021-01-06,2252.345
2021-01-07,2288.437
2021-01-08,2299.299
2021-01-11,2286.517
2021-01-12,2293.005
2021-01-13,2295.144
2021-01-14,2292.015
2021-01-15,2273.876
2021-01-19,2293.24
2021-01-20,2322.869
2021-01-21,2320.774
2021-01-22,2317.258
2021-01-25,2323.21
2021-01-26,2315.711
2021-01-27,2256.131
2021-01-28,2278.687
2021-01-29,2236.368
2021-02-01,2274.538
2021-02-02,2307.577
2021-02-03,2309.938
2021-02-04,2337.495
2021-02-05,2350.171
2021-02-08,2371.839
2021-02-09,2371.697
2021-02-10,2370.672
2021-02-11,2375.949
2021-02-12,2387.373
2021-02-16,2383.721
2021-02-17,2379.561
2021-02-18,2366.086
2021-02-19,2369.139
2021-02-22,2347.055
2021-02-23,2346.839
2021-02-24,2373.825
2021-02-25,2311.181
2021-02-26,2303.219
2021-03-01,2360.91
2021-03-02,2338.26
2021-03-03,2304.686
2021-03-04,2268.018
2021-03-05,2310.968
2021-03-08,2298.759
2021-03-09,2334.846
2021-03-10,2350.469
2021-03-11,2380.741
2021-03-12,2384.012
2021-03-15,2400.901
2021-03-16,2392.111
2021-03-17,2399.71
2021-03-18,2358.479
2021-03-19,2360.35
2021-03-22,2373.417
2021-03-23,2347.983
2021-03-24,2328.962
2021-03-25,2344.577
2021-03-26,2383.296
2021-03-29,2373.017
2021-03-30,2371.102
2021-03-31,2382.74
2021-04-01,2413.169
2021-04-05,2443.401
2021-04-06,2443.181
2021-04-07,2441.882
2021-04-08,2454.698
2021-04-09,2471.101
2021-04-12,2470.979
2021-04-13,2480.076
2021-04-14,2472.031
2021-04-15,2499.019
2021-04-16,2506.664
2021-04-19,2490.617
2021-04-20,2470.258
2021-04-21,2496.245
2021-04-22,2476.561
2021-04-23,2505.788
2021-04-26,2514.132
2021-04-27,2513.669
2021-04-28,2511.316
2021-04-29,2523.296
2021-04-30,2503.558
2021-05-03,2509.046
2021-05-04,2489.295
2021-05-05,2488.383
2021-05-06,2503.362
2021-05-07,2523.93
2021-05-10,2493.538
2021-05-11,2474.993
2021-05-12,2418.039
2021-05-13,2446.401
2021-05-14,2486.559
2021-05-17,2480.279
2021-05-18,2461.214
2021-05-19,2452.886
2021-05-20,2479.416
2021-05-21,2478.235
2021-05-24,2501.868
2021-05-25,2495.115
2021-05-26,2504.52
2021-05-27,2509.589
2021-05-28,2511.522
2021-06-01,2512.804
2021-06-02,2515.521
2021-06-03,2503.733
2021-06-04,2525.144
2021-06-07,2527.768
2021-06-08,2531.471
2021-06-09,2525.109
2021-06-10,2535.75
2021-06-11,2543.674
2021-06-14,2546.784
2021-06-15,2539.858
2021-06-16,2527.362
2021-06-17,2525.252
2021-06-18,2492.356
2021-06-21,2527.906
2021-06-22,2541.504
2021-06-23,2540.121
2021-06-24,2556.838
2021-06-25,2565.931
2021-06-28,2569.868
2021-06-29,2569.417
2021-06-30,2570.66
2021-07-01,2583.199
2021-07-02,2597.746
2021-07-06,2591.172
2021-07-07,2595.103
2021-07-08,2572.35
2021-07-09,2604.491
2021-07-12,2611.269
2021-07-13,2596.58
2021-07-14,2592.728
2021-07-15,2583.888
2021-07-16,2564.768
2021-07-19,2526.572
2021-07-20,2570.175
2021-07-21,2593.835
2021-07-22,2595.325
2021-07-23,2620.622
2021-07-26,2625.652
2021-07-27,2611.021
2021-07-28,2615.878
2021-07-29,2626.819
2021-07-30,2611.829
2021-08-02,2607.398
2021-08-03,2626.232
2021-08-04,2613.784
2021-08-05,2632.537
2021-08-06,2635.326
2021-08-09,2632.813
2021-08-10,2634.077
2021-08-11,2640.119
2021-08-12,2647.041
2021-08-13,2648.298
2021-08-16,2649.952
2021-08-17,2629.924
2021-08-18,2603.056
2021-08-19,2601.547
2021-08-20,2625.089
2021-08-23,2650.617
2021-08-24,2659.298
2021-08-25,2666.478
2021-08-26,2649.809
2021-08-27,2677.903
2021-08-30,2686.913
2021-08-31,2682.849
2021-09-01,2686.205
2021-09-02,2695.408
